external_id,address,permit_type,project_value,applicant,issue_date,description,source,city
25-087434-000-00 B7,18963 Sunrise Ave,New,1000000,,2026-02-26,New / Single Family (Secondary Suite),surrey,Surrey
25-087439-000-00 B7,18963 Sunrise Ave,New,200000,,2026-02-26,New / Garden Suite,surrey,Surrey
25-132568-000-00 B7,16039 9A Ave,New,750000,,2026-02-27,New / Duplex,surrey,Surrey
25-083674-000-00 B7,11150 160 St,New,900000,,2026-03-03,New / Single Family (Secondary Suite),surrey,Surrey
25-083681-000-00 B7,11150 160 St,New,99625,,2026-03-03,New / Garden Suite,surrey,Surrey
25-086763-000-00 B7,15773 McBeth Rd,New,950000,,2026-03-04,New / Single Family (Secondary Suite),surrey,Surrey
25-100149-000-00 B7,8204 170 St,New,1600000,,2026-03-04,New / Single Family,surrey,Surrey
25-116478-000-00 B7,12879 Carluke Cr,New,785615,,2026-03-05,New / Single Family,surrey,Surrey
25-116480-000-00 B7,12879 Carluke Cr,New,101700,,2026-03-05,New / Garden Suite,surrey,Surrey
25-110607-000-00 B7,10668 158A St,New,1200000,,2026-03-06,New / Single Family (Secondary Suite),surrey,Surrey
24-056956-000-00 B7,3138 162 St,New,60000,,2026-03-09,New / Swimming Pool,surrey,Surrey
25-119489-000-00 B7,2684 137 St,New,40000,,2026-03-09,New / Swimming Pool,surrey,Surrey
25-104598-000-00 B7,1504 132B St,Fire Damage Repair,216600,,2026-03-10,Fire Damage Repair / Single Family (Secondary Suite),surrey,Surrey
25-104599-000-00 B7,1504 132B St,S/S Created in Unfinished Area,55828,,2026-03-10,S/S Created in Unfinished Area / Single Family (Secondary Suite),surrey,Surrey
25-106282-000-00 B7,14611 60A Ave,New,535945,"1514906 BC LTD 13372 64A Ave Surrey, British Columbia, Canada, V3W 9Z1",2026-03-10,New / Single Family (Secondary Suite),surrey,Surrey
25-135067-000-00 B7,16795 Edgewood Dr,New,700000,,2026-03-10,New / Duplex,surrey,Surrey
25-136073-000-00 B7,14209 31 Ave,Renovation,60000,"Sarah Gallop Design Inc 4919 48 Ave Delta, British Columbia, Canada, V4K 1V4",2026-03-10,Renovation / Single Family,surrey,Surrey
25-128913-000-00 B7,8077 164 St,Fire Damage Repair,60000,,2026-03-13,Fire Damage Repair / Single Family,surrey,Surrey
26-010914-000-00 B7,16727 57 Ave,New,1000000,"Kesri Enterprises Ltd. (Jatinder Singh) 2321 172 St Surrey, British Columbia, Canada",2026-03-16,New / Single Family (Secondary Suite),surrey,Surrey
25-121083-000-00 B7,9661 157 St,Renovation,52875,"Pug Rock City Homes Ltd. 9085 161A St Surrey, British Columbia, Canada, V4N 3E5",2026-03-17,Renovation / Single Family (Secondary Suite),surrey,Surrey
25-126564-000-00 B7,3720 156A St,S/S Created in Finished Area,300000,,2026-03-17,S/S Created in Finished Area / Single Family (Secondary Suite),surrey,Surrey
25-088906-000-00 B7,9733 154 St,New,1100000,,2026-03-18,New / Single Family (Secondary Suite),surrey,Surrey
25-088909-000-00 B7,9733 154 St,New,212705,,2026-03-18,New / Garden Suite,surrey,Surrey
26-011924-000-00 B7,13651 19 Ave,Addition,80000,,2026-03-18,Addition / Single Family (Secondary Suite),surrey,Surrey
26-012785-000-00 B7,11342 140 St,Solar Panel Installation,30576,,2026-03-18,Solar Panel Installation / Single Family,surrey,Surrey
25-118705-000-00 B7,2648 Dogwood Dr,Addition,40000,,2026-03-20,Addition / Single Family,surrey,Surrey
25-117695-000-00 B7,10878 143 St,New,900000,,2026-03-22,New / Single Family (Secondary Suite),surrey,Surrey
25-119345-000-00 B7,11912 97 Ave,New,950000,,2026-03-23,New / Duplex,surrey,Surrey
25-119346-000-00 B7,11912 97 Ave,New,208000,,2026-03-23,New / Garden Suite,surrey,Surrey
25-090754-000-00 B7,6069 172B St,New,700000,,2026-03-24,New / Duplex,surrey,Surrey
25-117301-000-00 B7DD,17035 92A Ave,New,411885,"Foxridge Homes Unit 310 5620 152 St Surrey, British Columbia, Canada, V3S3K2",2026-03-24,New / Single Family (Secondary Suite),surrey,Surrey
25-104296-000-00 B7,12959 58A Ave,Fire Damage Repair,150000,"Wonder Marbel & Stone Inc. 11027 129A St Surrey, British Columbia, Canada, V3T 3K9",2026-03-25,Fire Damage Repair / Single Family,surrey,Surrey
25-117361-000-00 B7DD,17041 92A Ave,New,405420,"Foxridge Homes Unit 310 5620 152 St Surrey, British Columbia, Canada, V3S3K2",2026-03-25,New / Single Family (Secondary Suite),surrey,Surrey
25-138276-000-00 B7,12959 58A Ave,S/S Created in Finished Area,100000,"Wonder Marble & Stone Inc. 11046 130 St Surrey, British Columbia, Canada, V3T3M4",2026-03-25,S/S Created in Finished Area / Single Family,surrey,Surrey
23-017219-000-00 B7,7161 140A St,New,945585,,2026-03-26,New / Single Family (Secondary Suite),surrey,Surrey
26-012309-000-00 B7,1851 Laronde Dr,Renovation,21000,,2026-03-26,Renovation / Single Family (Secondary Suite),surrey,Surrey
26-019315-000-00 B7,7161 140A St,New,275000,,2026-03-26,New / Garden Suite,surrey,Surrey
25-093192-000-00 B7,12559 97 Ave,New,950000,"Bay Point Homes Inc 9286 133A St Surrey, British Columbia, Canada, V3V 5R5",2026-03-27,New / Single Family (Secondary Suite),surrey,Surrey
25-138683-000-00 B7,17979 98A Ave,Addition,150000,"True Light Building & Developments Ltd. 23444 124 Ave Maple Ridge, British Columbia, Canada, V2X 4K4",2026-03-27,Addition / Single Family,surrey,Surrey
25-127731-000-00 B7,16785 21 Ave,New,750000,"Woodcrest Homes Limited 12460 New Mclellan Rd Surrey, British Columbia, Canada, V3X 2Y4",2026-03-29,New / Duplex,surrey,Surrey
25-127732-000-00 B7,16785 21 Ave,New,150000,"Woodcrest Homes Ltd. 12460 New Mclellan Rd Surrey, British Columbia, Canada, V3X 2Y4",2026-03-29,New / Coach House / Garage,surrey,Surrey
25-137896-000-00 B7DD,16713 57 Ave,New,1100000,"Homeland Project 16345 59 Ave Surrey, British Columbia, Canada, V3S 7A5",2026-04-01,New / Single Family (Secondary Suite),surrey,Surrey
25-011425-000-00 B7,3081 Hillview Crt,New,2026735,,2026-04-05,New / Single Family (Secondary Suite),surrey,Surrey
26-010532-000-00 B7,10336 127 St,S/S Created in Finished Area,3000,,2026-04-05,S/S Created in Finished Area / Single Family,surrey,Surrey
25-118616-000-00 B7DD,17047 92A Ave,New,384800,"Foxridge Homes Unit 310 5620 152 St Surrey, British Columbia, Canada, V3S3K2",2026-04-06,New / Single Family (Secondary Suite),surrey,Surrey
25-124829-000-00 B7DD,17051 92A Ave,New,434025,"Foxridge Homes Unit 310 5620 152 St Surrey, British Columbia, Canada, V3S3K2",2026-04-06,New / Single Family (Secondary Suite),surrey,Surrey
26-010452-000-00 B7,16163 Springside Crt,Fire Damage Repair,150000,,2026-04-07,Fire Damage Repair / Single Family,surrey,Surrey
26-015770-000-00 B7,6155 191A St,Solar Panel Installation,17656,,2026-04-07,Solar Panel Installation / Single Family,surrey,Surrey
26-018039-000-00 B7,16163 Springside Crt,Renovation,17500,,2026-04-07,Renovation / Single Family,surrey,Surrey
23-028253-000-00 B7,8516 172 St,New,400000,,2026-04-08,New / Barn,surrey,Surrey
25-079567-000-00 B7,3081 Hillview Crt,New,123000,,2026-04-08,New / Accessory Building,surrey,Surrey
25-119483-000-00 B7,11069 Wren Cr,New,681070,"Appora Consulting Inc. 14088 82 Ave Surrey, British Columbia, Canada, V3W 1M8",2026-04-08,New / Duplex,surrey,Surrey
25-078596-000-00 B7,10329 129A St,New,780800,,2026-04-09,New / Single Family (Secondary Suite),surrey,Surrey
25-084787-000-00 B7,6270 129A St,New,100000,,2026-04-09,New / Garden Suite,surrey,Surrey
25-087833-000-00 B7,9495 156 St,New,950000,"Build Green Homes Ltd 13091 64 Ave Surrey, British Columbia, Canada, V3W1X8",2026-04-09,New / Duplex,surrey,Surrey
25-129114-000-00 B7,3081 Hillview Crt,New,35000,,2026-04-09,New / Retaining Wall,surrey,Surrey
25-133653-000-00 B7,14717 16A Ave,New,1200000,,2026-04-09,New / Single Family (Secondary Suite),surrey,Surrey
25-133656-000-00 B7,14717 16A Ave,New,200000,,2026-04-09,New / Garden Suite,surrey,Surrey
25-134621-000-00 B7,9341 157 St,Addition,150000,"UDC Design Center Ltd. Unit 202 7750 128 St Surrey, British Columbia, Canada, V3W 0R6",2026-04-10,Addition / Single Family,surrey,Surrey
25-119509-000-00 B7,11069 Wren Cr,New,300000,"Appora Consulting Inc. 14088 82 Ave Surrey, British Columbia, Canada, V3W 1M8",2026-04-12,New / Garden Suite,surrey,Surrey
25-106302-000-00 B7,18272 66 Ave,S/S Created in Unfinished Area,36740,,2026-04-13,S/S Created in Unfinished Area / Single Family,surrey,Surrey
25-129847-000-00 B7,7846 126A St,New,850000,,2026-04-13,New / Duplex,surrey,Surrey
25-129849-000-00 B7,7846 126A St,New,201500,,2026-04-13,New / Garden Suite,surrey,Surrey
25-131970-000-00 B7,11905 99 Ave,New,300000,,2026-04-13,New / Garden Suite,surrey,Surrey
24-013753-000-00 B7,12808 13 Ave,New,1250000,"Northcrest Contracting 14147 Greencrest Drive Surrey, British Columbia, Canada",2026-04-14,New / Single Family (Secondary Suite),surrey,Surrey
25-131935-000-00 B7,16641 Rosewood Pl,Addition,150000,,2026-04-14,Addition / Single Family (Secondary Suite),surrey,Surrey
25-136063-000-00 B7,10325 146 St,New,751375,,2026-04-14,New / Duplex,surrey,Surrey
25-136067-000-00 B7,10325 146 St,New,200000,,2026-04-14,New / Garden Suite,surrey,Surrey
25-012226-000-00 B7,6177 156 St,New,900000,,2026-04-15,New / Single Family (Secondary Suite),surrey,Surrey
25-094436-000-00 B7,5965 169 St,New,936715,,2026-04-15,New / Single Family (Secondary Suite),surrey,Surrey
25-106950-000-00 B7,5883 167A St,Solar Panel Installation,25800,,2026-04-15,Solar Panel Installation / Single Family,surrey,Surrey
25-123116-000-00 B7,9366 148A St,New,200000,,2026-04-15,New / Garden Suite,surrey,Surrey
25-133590-000-00 B7,19149 68B Ave,Renovation,15000,,2026-04-15,Renovation / Single Family,surrey,Surrey
